range_start,range_end
12626,12963
13221,13575
21655,21885
27384,27702
42977,43506
45171,45578
51486,51912
101924,102229
126906,127125
164586,164936
167639,167979
176098,176346
183477,183706
190079,190308
191730,192100
198721,198951
201852,202093
202364,202616
238251,238476
244567,244934
255934,256249
258749,259025
267530,267858
275852,276176
276890,277231
282648,283128
285648,285879
289111,289330
292345,292683
293483,293776
293968,294188
299284,299510
302614,302879
319482,319860
329289,329823
334379,334596
367716,368061
409247,409489
420228,420468
439150,439378
458890,459308
478231,478595
480919,481204
490048,490340
503320,503550
558151,558506
562634,562866
588508,588831
590002,590220
596425,596798
602528,602758
622198,622472
626945,627241
649726,649963
668295,668613
674838,675137
682639,683143
690640,690980
709732,710061
738834,739138
741428,741756
751206,751449
758393,758697
761983,762296
785428,786009
800398,800627
805855,806186
808800,809288
811474,811815
841943,842513
850597,850912
855706,856026
878400,878672
892760,893034
906214,906547
919306,919650
934660,935000
937562,937909
963722,963940
966603,966847
985427,985810
986524,987435
988250,988474
1007649,1007966
1011789,1012117
1014652,1014915
1021385,1021721
1033410,1033797
1045352,1045617
1047566,1047798
1050926,1051233
1052700,1053023
1056126,1056419
1059519,1059805
1064729,1065081
1068236,1068583
1069670,1070011
1082493,1082777
1084027,1084254
1085276,1085613
1096208,1096525
1101505,1101905
1118739,1118960
1122924,1123258
1131462,1131738
1134474,1134845
1137186,1137600
1138770,1139067
1140808,1141093
1143083,1143468
1144606,1145012
1148254,1148588
1151151,1151544
1153272,1153501
1161656,1161960
1163189,1163534
1167760,1167985
1170181,1170744
1190018,1190395
1192330,1192697
1195802,1196149
1223701,1224059
1230547,1230852
1262931,1263259
1286877,1287140
1329056,1329394
1330249,1330578
1334259,1334483
1338389,1338736
1371758,1372231
1385570,1385895
1411589,1411895
1433204,1433619
1459735,1459989
1472219,1472518
1475171,1475591
1485743,1486131
1504630,1504902
1529812,1530100
1556022,1556375
1572903,1573268
1583051,1583410
1585407,1585629
1597203,1597437
1606521,1606783
1610482,1610716
1616928,1617267
1619023,1619347
1627405,1627622
1631075,1631430
1635186,1635416
1640743,1641004
1643433,1643734
1644687,1645027
1649780,1650072
1650618,1650850
1656457,1656714
1665238,1665497
1678347,1678699
1681569,1681942
1689683,1690013
1699678,1699903
1700737,1700971
1710266,1710608
1710864,1711084
1741292,1741527
1767610,1767944
1769354,1769599
1777601,1777834
1785741,1786018
1805144,1805599
1806939,1807329
1827769,1828376
1836743,1836972
1837832,1838047
1863718,1864306
1864544,1864959
1865999,1866337
1874075,1874319
1878988,1879218
1891910,1892131
1895557,1895818
1896647,1896971
1900532,1900879
1921056,1921286
1927175,1927458
1936514,1936925
1937259,1937624
1942809,1943043
1943073,1944600
1945678,1945919
1949136,1949485
1960900,1961202
1965306,1965592
1977012,1977322
1984599,1984925
1992588,1992812
1997192,1997431
2014874,2015106
2015794,2016015
2054161,2054501
2081878,2082215
2117432,2117866
2119231,2119629
2143131,2143454
2154105,2154435
2161470,2161918
2189581,2189882
2200733,2201072
2218608,2218848
2225037,2225373
2228173,2228506
2230405,2230770
2250114,2250345
2251958,2252294
2254445,2254779
2263744,2264018
2270737,2270995
