ID,PC1,PC2,name
chromosome_GCF_000005845.2_ASM584v2,3.1191373341086437,-1.4824537991660236,chromosome_GCF_000005845.2_ASM584v2
chromosome_GCF_000006765.1_ASM676v1,3.8275544990149424,-0.050781879318816586,chromosome_GCF_000006765.1_ASM676v1
chromosome_GCF_000006945.2_ASM694v2,3.068867192634313,1.1832375614803803,chromosome_GCF_000006945.2_ASM694v2
plasmid_pSLT_GCF_000006945.2_ASM694v2,-4.782332112461062,-0.04232753676681224,plasmid_pSLT_GCF_000006945.2_ASM694v2
chromosome_1_GCF_008369605.1_ASM836960v1,3.8852915538469928,1.5385735209530293,chromosome_1_GCF_008369605.1_ASM836960v1
chromosome_2_GCF_008369605.1_ASM836960v1,1.046313888762216,0.3789030141652898,chromosome_2_GCF_008369605.1_ASM836960v1
plasmid_unnamed_GCF_008369605.1_ASM836960v1,-3.6292837989908366,-1.4006323624153516,plasmid_unnamed_GCF_008369605.1_ASM836960v1
chromosome_GCF_017821535.1_ASM1782153v1,-4.261177410646522,1.7230488931764951,chromosome_GCF_017821535.1_ASM1782153v1
plasmid_pMT5135_GCF_017821535.1_ASM1782153v1,-5.344329344039836,-0.3020273941950278,plasmid_pMT5135_GCF_017821535.1_ASM1782153v1
chromosome_GCF_000022005.1_ASM2200v1,3.0699581977711516,-1.5455400179131658,chromosome_GCF_000022005.1_ASM2200v1
