ID,PC1,PC2,superkingdom,Replicons_type
chromosome_GCF_000005845.2_ASM584v2,24.025630646744613,26.864075034608653,Bacteria,chromosome
chromosome_GCF_000006765.1_ASM676v1,30.440641120170422,21.524919322520677,Bacteria,chromosome
chromosome_GCF_000006945.2_ASM694v2,35.114135883853876,-21.11274997106023,Bacteria,chromosome
plasmid_pSLT_GCF_000006945.2_ASM694v2,-47.75736371513828,-7.774978319875199,Bacteria,plasmid_pSLT
chromosome_1_GCF_008369605.1_ASM836960v1,90.42504213105201,-27.069413406359782,Bacteria,chromosome_1
chromosome_2_GCF_008369605.1_ASM836960v1,-8.031940490592062,-8.903946495847238,Bacteria,chromosome_2
plasmid_unnamed_GCF_008369605.1_ASM836960v1,-44.35265527655377,-5.562147422479948,Bacteria,plasmid_unnamed
chromosome_GCF_017821535.1_ASM1782153v1,-45.563775711758495,-5.699868830809644,Bacteria,chromosome
plasmid_pMT5135_GCF_017821535.1_ASM1782153v1,-48.188893830384785,-8.924473468941613,Bacteria,plasmid_pMT5135
chromosome_GCF_000022005.1_ASM2200v1,13.889179242606527,36.658583558244345,Bacteria,chromosome
