ID,PC1,PC2,superkingdom,Replicons_type
chromosome_GCF_000005845.2_ASM584v2,-14.592539660725707,10.001787847797345,Bacteria,chromosome
chromosome_GCF_000006765.1_ASM676v1,-10.331864275143044,7.315441753023951,Bacteria,chromosome
chromosome_GCF_000006945.2_ASM694v2,-17.723524035316665,14.172845521954411,Bacteria,chromosome
plasmid_pSLT_GCF_000006945.2_ASM694v2,2.9994590106727443,20.14231276981738,Bacteria,plasmid_pSLT
chromosome_1_GCF_008369605.1_ASM836960v1,-14.333905633117942,0.08998693561167849,Bacteria,chromosome_1
chromosome_2_GCF_008369605.1_ASM836960v1,-14.950118518800501,-0.9317358678706569,Bacteria,chromosome_2
plasmid_unnamed_GCF_008369605.1_ASM836960v1,27.443649668897745,0.16456069140371954,Bacteria,plasmid_unnamed
chromosome_GCF_017821535.1_ASM1782153v1,-31.411438808819664,-38.181771906330184,Bacteria,chromosome
plasmid_pMT5135_GCF_017821535.1_ASM1782153v1,84.50593373994121,-9.909667183264544,Bacteria,plasmid_pMT5135
chromosome_GCF_000022005.1_ASM2200v1,-11.605651487588151,-2.86376056214307,Bacteria,chromosome
