range_start,range_end
7161,7493
15914,16239
52353,52709
55430,55767
78468,78699
87296,87635
88019,88253
101514,101749
103638,103996
104721,104943
105387,105767
129526,129740
130000,130230
132721,133022
143603,143910
145324,145576
152949,153199
168916,169130
173655,173940
185852,186068
190955,191208
199307,199542
234412,234637
242378,242724
247819,248154
260853,261076
265436,265823
277906,278215
282461,282968
292337,292567
293782,294010
294738,294988
308816,309038
313505,313819
318536,318756
321054,321388
329504,329732
345538,345820
364370,364703
367665,367984
377599,377995
382245,382462
386223,386437
397425,397649
410853,411102
413601,413991
419437,419773
430427,430711
436383,436626
439846,440068
460025,460254
502357,502622
520376,520597
522144,522510
535276,535619
544859,545137
547147,547627
555525,555847
576967,577289
581039,581268
587887,588105
588270,588490
588609,588927
638014,638349
641138,641365
645545,645776
647834,648178
664811,665192
673643,673987
708178,708400
711408,711637
718225,718438
726606,726965
731315,731545
733722,733992
744145,744372
749078,749383
763357,763690
765192,765468
774279,774582
778250,778479
791722,792069
793393,793610
794007,794237
800343,800566
804686,804922
810127,810455
813181,813409
814871,815134
836732,836964
847524,847746
853987,854318
855571,855859
856426,857147
878101,878320
885997,886231
896140,896370
910081,910421
913406,913778
914400,914719
915166,915446
916158,916433
919706,919938
920999,921248
921359,921698
930236,930570
931527,931856
932735,933168
953007,953239
961451,961731
973937,974264
982431,982663
991981,992364
996188,996532
1006334,1006653
1017654,1017982
1036283,1036630
1037901,1038155
1065063,1065289
1066125,1066366
1067434,1067765
1078858,1079191
1085498,1085728
1088372,1088594
1089353,1089586
1095035,1095342
1103050,1103371
1129960,1130180
1180265,1180544
1181580,1181898
1207513,1207882
1215880,1216099
1221441,1221672
1229041,1229369
1243234,1243480
1252385,1252697
1271851,1272167
1280003,1280245
1285155,1285482
1290177,1290514
1303850,1304072
1306021,1306267
1310986,1311210
1318908,1319190
1323809,1324295
1334931,1335290
1335773,1336038
1348615,1348831
1348907,1349184
1362799,1363027
1365884,1366338
1381897,1382126
1386570,1386900
1387161,1387463
1395403,1395745
1396813,1397038
1397705,1397931
1422885,1423148
1427907,1428225
1429511,1429836
1431069,1431289
1434710,1435024
1448601,1448896
1467219,1467573
1495862,1496335
1501897,1502352
1510518,1510824
1512670,1512891
1528998,1529272
1534275,1534491
1541369,1541711
1552042,1552370
1557671,1557886
1566114,1566365
1574180,1574407
1578183,1578502
1600068,1600281
1610794,1611140
1626900,1627304
1627741,1628061
1642645,1643008
1660846,1661152
1661903,1662122
1664981,1665233
1667500,1667731
1675409,1675712
1698827,1699103
1709828,1710048
1711353,1711658
1720966,1721278
1738172,1738386
1745485,1745729
1757286,1757609
1757932,1758267
1765517,1765760
1767159,1767382
1783840,1784189
1792614,1792958
1793476,1793702
1797869,1798082
1805318,1805718
1815658,1815871
1855777,1856354
1900273,1900621
1900898,1901118
1901806,1902126
1915902,1916145
1936438,1936724
1966404,1966625
1966757,1967090
1967126,1967553
1972646,1972995
1974714,1974959
1978868,1979113
2028612,2028881
2031043,2031424
2044155,2044446
2051912,2052135
2054873,2055177
2067408,2067631
2085129,2085473
2087875,2088104
2089435,2089667
2100648,2100899
2115656,2115942
2128297,2128605
2141044,2141272
2143026,2143582
2165620,2165849
2176070,2176288
2198191,2198468
2205122,2205352
2259172,2259387
2263650,2263872
2268920,2269211
2271046,2271390
2271910,2272290
2275743,2276043
2299188,2299523
2308382,2308609
2321354,2321684
2330186,2330401
2342382,2342617
2351271,2351638
2394305,2394641
2394828,2395048
2404689,2405017
2405598,2405826
2412445,2412669
2416317,2416628
2427418,2427648
2435560,2435867
2444967,2445191
2450243,2450470
2455021,2455248
2460914,2461142
2461607,2461831
2476855,2477227
2503642,2503987
2509038,2509251
2522113,2522443
2559743,2559964
2567253,2567474
2578768,2579178
2603401,2603726
2607297,2607513
2639812,2640029
2649019,2649279
2684067,2684491
2697132,2697444
2708455,2708999
2714319,2714559
2728890,2729116
2736202,2736461
2741894,2742301
2753241,2753611
2763103,2763367
2788194,2788542
2799549,2799776
2800169,2800472
2808439,2808760
2809724,2810069
