range_start,range_end
30890,31282
53076,53323
54755,55009
59183,59474
69956,70188
99926,100171
102157,102468
104916,105151
109681,109991
112211,112424
131444,131672
142562,142790
159805,160100
174433,174696
185786,186008
188685,189002
202656,202894
212109,212328
233530,233822
263492,263716
283450,283667
292965,293403
296843,297072
304090,304316
309706,310093
316659,316882
317778,318130
328667,328952
329180,329496
349700,349917
358451,358756
396109,396459
401994,402230
406768,407082
412951,413564
413647,414542
425235,425522
435752,436228
464450,464804
485941,486193
528509,528819
540198,540533
574674,574969
580410,580628
580835,581185
593176,593530
605357,605661
631684,631915
651739,651967
664591,664878
671171,671500
673733,674012
690299,690620
695021,695376
720135,720360
745757,745983
755624,755950
775709,775931
784627,784849
805188,805420
809850,810064
810174,810399
824437,824702
849100,849324
851298,851724
852343,852661
886864,887259
897019,897262
907426,907668
917695,917999
922865,923204
925801,926139
929859,930080
940656,940879
964939,965326
972617,972951
975943,976391
998236,998567
1014152,1014384
1023058,1023474
1024428,1024656
1057035,1057373
1091167,1091399
1145051,1145389
1183263,1183698
1186409,1186632
1187767,1188208
1195242,1195474
1226248,1226477
1263825,1264127
1272988,1273205
1300875,1301281
1326892,1327123
1331499,1331757
1358215,1358555
1363986,1364427
1371664,1371903
1376978,1377195
1380046,1380276
1413939,1414255
1425719,1426050
1428593,1428809
1440586,1440842
1454029,1454447
1454760,1455306
1478850,1479080
1486895,1487165
1497761,1498162
1531170,1531393
1543814,1544162
1573652,1573978
1590572,1590813
1596870,1597211
1621382,1621619
1632752,1633131
1638325,1638555
1660157,1660523
1674885,1675103
1676331,1676571
1713412,1713631
1731172,1731488
1766256,1766476
1769404,1769752
1812201,1812447
1822712,1822940
1831333,1831663
1874695,1875110
1881259,1881615
1918704,1919044
1922499,1922717
1922887,1923223
1926608,1927127
1928878,1929344
1948702,1948968
1950143,1950445
2003240,2003468
2011413,2011753
2013901,2014325
2015635,2015865
2055827,2056083
2057993,2058376
2071234,2071453
2082157,2082838
2089462,2089686
2094306,2094567
2106073,2106305
2116260,2116602
2130422,2130647
2130672,2131302
2174477,2174796
2177209,2177457
2243849,2244159
2249352,2249581
2255128,2255492
2258214,2258496
2271936,2272168
2280096,2280338
2314980,2315210
2326068,2326298
2394660,2394983
2410432,2410647
2417494,2417925
2428401,2428770
2456379,2456608
2500373,2500711
2507530,2507892
2528214,2528466
2563724,2564079
