range_start,range_end
4313,4567
12997,13274
25059,25330
30193,30473
36202,36468
62912,63260
70108,70531
70747,71170
71386,71809
71961,72253
76321,76545
83236,83484
111698,112044
117516,117734
138818,139058
149381,149627
187552,187773
212330,212566
216916,217326
217948,218311
228622,228983
241629,241974
245665,245932
246605,246861
259099,259444
260028,260364
291184,291732
291799,292029
303580,303847
306590,306916
311701,311923
338187,338531
372715,373065
402095,402444
406866,407206
407456,407775
414345,414684
416745,416997
423771,424151
436224,436613
442572,442799
474973,475364
475444,475714
482360,482648
484921,485257
502127,502385
508946,509375
514876,515316
515669,515899
517013,517361
529892,530128
534384,534729
536430,536792
589645,589871
593716,594129
608741,608965
627353,627641
642854,643148
651045,651471
670691,671034
678230,678554
713316,713639
770441,770665
781393,781651
786648,787001
819833,820146
824331,824662
841460,841860
849344,849676
853091,853325
857834,858104
872758,873035
881467,881904
888876,889090
916762,916999
917798,918041
948331,948557
969925,970154
973863,974077
1003341,1003586
1018400,1018631
1025929,1026269
1034466,1034794
1048102,1048333
1059689,1059920
1060290,1060510
1114242,1114559
1116552,1116817
1160465,1160765
1164904,1165190
1165474,1165825
1166963,1167213
1176941,1177161
1194138,1194368
1197936,1198248
1221400,1221804
1222258,1222488
1229766,1230111
1240360,1240585
1247644,1247990
1286108,1286471
1329778,1330122
1330300,1330536
1332775,1333065
1334707,1335139
1341164,1341400
1352944,1353170
1360443,1360657
1375101,1375318
1381484,1381731
1386127,1386374
1388260,1388587
1396304,1396637
1417301,1417630
1426912,1427154
1428443,1428674
1440277,1440580
1457280,1457551
1476150,1476376
1492688,1493012
1495515,1495863
1499576,1499915
1501262,1501504
1518035,1518259
1518969,1519239
1522379,1522629
1559612,1559949
1564029,1564257
1570740,1571070
1588769,1589000
1609231,1609559
1636028,1636294
1650411,1650676
1657496,1657799
1689445,1689774
1706675,1706889
1711737,1711954
1728963,1729188
1739854,1740235
1740879,1741125
1743676,1743918
1753770,1753985
1764145,1764491
1779763,1779981
1786681,1787027
1791868,1792099
1809506,1809897
1821473,1821873
1833007,1833231
1864727,1865107
1883791,1884125
1907633,1907862
1913254,1913521
1919989,1920303
1930352,1930654
1938552,1938892
1943824,1944079
1945105,1945681
1979832,1980205
1985478,1985947
1993024,1993450
1994530,1994843
2035445,2035739
2037371,2037684
2053982,2054342
2077249,2077583
2081943,2082287
2100800,2101017
2103069,2103373
2144891,2145117
2145164,2145505
2149556,2149788
2154618,2155047
2165210,2165439
2211689,2211987
2224122,2224385
2244367,2244590
2246755,2247012
2249505,2249820
2271322,2271560
2289717,2289984
2317359,2317642
2319581,2319888
2323236,2323644
2327467,2327688
2341350,2341594
2342763,2343070
2359481,2359707
2383915,2384135
2389593,2389818
