1N,2N,3N,4N,5N,6N,ratio
-0.19819599178082037,-0.1221236997759309,-0.2518749186540217,-0.30444605503899275,-0.15208020533686495,-0.1842444170612867,-0.3711678153808087
0.03279727202923355,0.11823133000338945,-0.17579523894000454,-0.1581092949378875,0.10124165271303276,-0.0007015656717731505,-0.0469688616399206
-0.223248836696555,-0.14475765631555945,-0.2626805490050603,-0.2161629976907108,-0.11585236599715665,-0.13923527151489995,-0.35429259561646664
0.19685225567655706,0.23561207426466568,-0.1046941802840192,-0.08555130310921286,0.13281319400816075,0.2455404904754481,0.31741653205949083
-0.19946630518673003,-0.2094739274967301,-0.17257380677313083,-0.16459462696629573,-0.15365194501775534,-0.16016771152772574,-0.2820788299271316
0.14724355299887548,0.1422930278825354,0.13913592222941756,0.1118557961375435,0.19178772900943786,0.08885280620513375,0.189415825826108
-0.2257007770415497,0.035013730921422154,-0.1636961376415233,-0.20029879951187105,0.0260346910592649,-0.21064878087835395,-0.2437301589290609
-0.46115445977860814,-0.2099603809159602,-0.26547883377554166,-0.14973099736417667,-0.1445792786167753,-0.4902851199269817,-0.5524224597392879
-0.24168049193498276,-0.17892719715240468,-0.21100359775557442,-0.1857382015055435,-0.1464635733961289,-0.1760679000090754,-0.46574416575869115
0.17382679958377514,0.1965203091906364,0.02842901289287865,0.0749252790585096,0.1731871590358493,0.14630551517254986,0.19388713953481035
-0.1754618785572407,0.0189215297010996,-0.1403869851150586,-0.16163615346574445,0.0283102683394014,-0.36984068671726383,-0.2813206227581748
0.11450246274039699,0.13689441815600975,-0.1167048374384526,-0.152868711408838,0.1151033415011586,0.11727922057082896,-0.107217193639549
-0.14316554052335756,0.053227133659783904,-0.13557387414918626,-0.14323509726228245,0.01267951012466145,-0.10337248351729711,-0.16916684575595556
0.1307642966633624,0.1795292672536079,-0.039063475852122595,-0.01282390995156495,0.20751964614804774,0.08637626813606514,0.09441492533996554
-0.31390071514959417,-0.15217924380376263,-0.2542348027874173,-0.22554600452061602,-0.1402895814570941,-0.17220689623388108,-0.5551317235638519
-0.0300338637257758,0.0236364158292775,0.03867753051924035,0.0437247205280184,-0.012393711862452951,-0.0008889550186092499,0.07956432011082795
-0.1911428630889693,-0.0220165366245394,-0.2081938830016321,-0.15758773229973372,-0.06178487892531715,-0.21806022887079185,-0.2897564497820338
-0.14182513816798714,-0.4719679208142612,-0.3706818116265525,-0.3707273144360603,-0.5094940129687594,-0.2465088045254708,-0.5960438748041863
0.08838531112985065,0.15337125444763566,0.1631037522087086,0.12448343884129584,0.12514022796029015,0.0927348480369095,0.04392347157024015
-0.0649753268305891,-0.2780533226416444,-0.3349508115335129,-0.2836290014882253,-0.40118177189083704,-0.1451930360582886,-0.4684552855024101
-0.09490073167582795,-0.04796446025658585,-0.3861439100063821,-0.3663938258103156,-0.0723281967043736,-0.09313219086578844,-0.32443355965980675
0.01529179521306745,-0.3326948110127538,-0.06755636896834524,-0.07503726030071335,-0.43116907274219674,0.045883557319035345,-0.4214864287166029
-0.19959043429737083,0.11971816377039748,-0.2076555027222321,-0.25073638550167787,0.1421991267939303,-0.17562491134464575,-0.20543627993859476
-0.4309102587624474,-0.36203922655034904,-0.3743079224822436,-0.49438918646872343,-0.3466691418425852,-0.42273525942398593,-0.6877545675461032
0.08945523673630655,0.037423961352184995,-0.08276480773403735,-0.10990696543761459,0.08177952300388315,0.03388659736509492,-0.1259752555535556
-0.2805135337778507,-0.4144638412852954,-0.2932193060277938,-0.2968424818787144,-0.42138849361457686,-0.17543999784107064,-0.5972851303668811
-0.1883350995638474,0.03911018427146345,-0.0863782860004048,-0.124702122921834,-0.0664077907222103,-0.4125394124727807,-0.11755824108613595
-0.1486527905627607,-0.2942652584161899,-0.3639202773655077,-0.3035369415345131,-0.2958104911517023,-0.1261515615124861,-0.3726489168625243
