range_start,range_end
10195,10414
17962,18387
28739,29022
33010,33406
46142,46757
48339,48712
63720,64064
66616,66854
89903,90213
97405,97982
99652,99886
102216,102562
109208,109440
109964,110194
130692,130978
131630,131861
131986,132311
136096,136409
143151,143470
146781,147175
150263,150494
155434,155661
157709,157942
165480,165801
169191,169414
175085,175720
181736,182058
187472,187766
188942,189326
195929,196182
205807,206037
206164,206475
213381,213940
216806,217152
220472,220859
221086,221315
222217,222606
225295,225594
253151,253375
261802,262146
265461,265743
272417,272729
279517,279750
280638,281032
308113,308350
313730,313967
328642,328898
343467,343731
348410,348705
355053,355289
372085,372312
373217,373619
389976,390208
395327,395559
397488,397841
399366,399676
413067,413674
419744,420085
432208,432440
433036,433373
433575,434047
450856,451128
452198,453039
464827,465187
476099,476433
480075,480464
481775,482147
483350,483696
485053,485360
488110,488355
490771,491117
493650,493997
496398,496826
497957,498328
500379,500779
502871,503203
508848,509173
526111,526389
532000,532249
532406,532713
541250,541550
553692,553987
555244,555539
556735,556959
558588,558948
563273,563651
573720,574041
588717,589107
594016,594273
600671,601018
625013,625407
633265,633618
656928,657233
664516,664864
672041,672330
673590,673818
683851,684074
700153,700525
704938,705157
709311,709581
723906,724306
730656,730999
754625,754987
756489,756832
765178,765413
766067,766285
766754,767049
768944,769648
780597,780830
782048,782402
783337,783632
788363,788724
791018,791336
792809,793085
808493,808834
816281,816680
817705,817929
842763,842985
845560,845809
851262,851616
858078,858340
858644,859001
863066,863386
887143,887436
897524,897748
908093,908461
913173,913577
936401,936741
947606,947925
964000,964223
975967,976289
977722,977941
990124,990352
991525,991897
994169,994396
999038,999270
999555,999870
1002382,1002613
1009759,1010147
1014973,1015209
1019338,1019874
1043016,1043362
1048603,1048823
1057883,1058109
1059340,1059689
1062062,1062282
1063748,1064192
1082789,1083022
1087357,1087693
1093391,1093818
1099098,1099512
1100161,1100481
1109845,1110475
1119696,1120025
1131953,1132248
1134605,1135025
1139873,1140089
1147603,1148008
1159433,1159664
1161930,1162224
1165575,1165870
1167958,1168203
1176786,1177179
1188268,1188575
1200842,1201282
1215594,1216002
1217786,1218023
1220106,1220460
1234372,1234589
1255155,1255493
1262932,1263301
1264715,1265060
1270701,1270988
1293070,1293395
1298544,1298903
1308235,1308629
1314008,1314328
1315109,1315555
1325097,1325430
1326047,1326292
1342496,1342869
1347430,1347856
1362364,1362591
1377526,1377884
1380180,1380416
1383482,1383782
1396996,1397236
1418667,1418920
1419549,1419898
1420705,1421018
1422021,1422390
1430246,1430538
1437683,1437951
1442238,1442514
1463210,1463560
1463723,1464739
1490550,1490822
1496071,1496297
1541526,1541755
1543136,1543496
1543579,1543839
1561047,1561342
1565424,1565646
1569221,1569446
1578021,1578260
1582246,1582496
1595636,1595965
1605019,1605275
1615543,1615893
1617220,1617479
1625407,1625644
1625811,1626135
1634849,1635144
1641150,1641369
1644272,1644601
1645743,1646232
1650517,1650773
1652246,1652468
1661846,1662268
1663429,1663653
1677705,1678131
1681608,1681842
1694485,1694722
1697514,1697752
1732449,1732667
1735088,1735313
1769865,1770237
1772589,1773065
1799307,1799660
1807703,1807937
1820625,1820959
1824486,1824829
1830643,1830989
1835721,1836051
1837446,1837663
1842802,1843101
1852501,1852834
1862301,1862568
1871183,1871614
1877657,1877988
1878344,1878639
1878707,1879137
1889854,1890141
1895507,1895848
1899695,1899951
1902195,1902506
1937144,1937486
1939710,1940035
1953860,1954188
1958698,1958937
1966144,1966417
1966475,1966770
1974384,1974651
1975304,1975537
1978463,1978793
1992134,1992362
2003008,2003386
2009826,2010054
2011234,2011466
2012688,2012903
2014091,2014474
2018593,2018819
2019568,2019850
2027780,2028018
2040382,2040646
2059397,2059665
2069823,2070166
2080862,2081254
2083395,2083708
2084894,2085357
2087658,2087894
2104797,2105199
2127447,2127780
2133319,2133647
2136750,2137093
2146425,2146657
2149773,2150144
2155341,2155737
2159471,2159684
2170278,2170581
2181360,2181731
2185480,2185728
2190668,2190998
2191768,2192104
2199374,2199608
2200200,2200425
2208649,2208964
2210795,2211120
2213890,2214302
2215908,2216281
2227661,2227928
2229751,2230062
2255499,2255730
2255844,2256098
2260376,2260715
2267647,2267939
2283580,2283983
2284028,2284407
2284504,2284851
2285890,2286272
2290175,2290426
2295156,2295501
2300604,2300821
2308444,2308672
2329338,2329566
2333154,2333523
2346790,2347018
2349093,2349324
2350058,2350616
2367142,2367508
2390432,2390684
2398280,2398622
2401243,2401558
2420388,2420619
2428183,2428478
