range_start,range_end
4398,4638
12524,12861
13981,14350
18339,18593
18863,19200
35459,35681
44140,44460
51329,51567
56276,56884
86116,86534
89013,89519
100241,100590
105742,106053
138520,138747
148023,148249
155419,155786
177694,180423
188970,189362
199691,199919
201465,201711
205558,205882
213530,213951
215024,215378
216867,217100
231539,232003
240097,240483
241400,241719
255264,255597
258315,258674
262800,263158
267884,268098
274940,275266
285916,286245
294778,295121
300859,301074
317993,318315
319530,319861
331669,332056
339766,340087
355581,355965
357878,358220
364181,364410
383537,383757
388389,388685
397165,397510
420861,421133
425850,426189
430825,431067
432639,432858
445037,445277
452655,452868
469202,469434
470661,470982
487018,487241
487250,487595
493198,493503
497442,497780
521990,522316
522598,523151
526810,527035
536402,536740
542452,542698
542786,543006
548374,548589
556492,556812
557436,557666
559218,559451
569402,569782
575298,575528
577437,577665
592229,592631
597559,597807
625000,625311
643554,643848
668943,669183
677683,677906
681658,682085
686552,686873
688460,688811
722873,723143
729532,729931
743092,743397
760001,760337
764697,765024
766348,766570
775288,775587
780872,781099
785166,785480
791151,791554
803485,803698
808636,808965
813137,813497
815422,815667
817288,817624
841173,841405
845015,845351
854213,854444
855404,855628
864501,864818
869210,869561
889693,889940
903189,903568
911155,911522
922354,922583
926140,926381
937150,937499
937573,937829
942910,943136
956835,957121
967704,967944
971210,971525
984105,984321
1004912,1005245
1036089,1036319
1038541,1038974
1048444,1048683
1054405,1054726
1057384,1057660
1061803,1062034
1062491,1062710
1065765,1066030
1071552,1071847
1078989,1079387
1084752,1085002
1088613,1088828
1089539,1089864
1092431,1092772
1108793,1109160
1113649,1113969
1117455,1117761
1122157,1122386
1122900,1123171
1124714,1124940
1132033,1132437
1140571,1140928
1152704,1152933
1158760,1159102
1163711,1164020
1166331,1166690
1172416,1172758
1192099,1192329
1195227,1195740
1208891,1209123
1213571,1213802
1214451,1214700
1215103,1215323
1217240,1217458
1256169,1256396
1260267,1260598
1269697,1269912
1279904,1280187
1283085,1283314
1287861,1288220
1293920,1294257
1297373,1297731
1313368,1313802
1322480,1322711
1344029,1344260
1350423,1350641
1356914,1357262
1358621,1358996
1366289,1366517
1372096,1372323
1385414,1385641
1400368,1400583
1406966,1407205
1415500,1415805
1423798,1424178
1442762,1443081
1444457,1444806
1452208,1452503
1471798,1472128
1481719,1482061
1483656,1483883
1485923,1486174
1486385,1486617
1487671,1487987
1488784,1489189
1489792,1490112
1504211,1504582
1513750,1514068
1551283,1551603
1551885,1552232
1557334,1557570
1581397,1581730
1588058,1588403
1609088,1609413
1611539,1611764
1618616,1618848
1628718,1629135
1634559,1635001
1638448,1638665
1646735,1646957
1651594,1651821
1654976,1655191
1669006,1669392
1671495,1671744
1675492,1675782
1678167,1678528
1691411,1691638
1705976,1706401
1726976,1727195
1734888,1735399
1751351,1751685
1751860,1752086
1763546,1763779
1769570,1769935
1772206,1772434
1805642,1805919
1808113,1808738
1822110,1822433
1822547,1822947
1825697,1826005
1826238,1826543
1827664,1827888
1828757,1829244
1833530,1833792
1850047,1850374
1866897,1867241
1885700,1886103
1921248,1921657
1924267,1924599
1939043,1939375
1952174,1952412
1954714,1954942
1956487,1956733
1960579,1960903
1968010,1968412
1969810,1970171
1971625,1971858
1986024,1986488
2003495,2003743
2004162,2004499
2013261,2013645
2014087,2014321
2022537,2022829
2024083,2024407
2049859,2050074
2076070,2076352
2076686,2076919
2081023,2081238
2093874,2094134
2109932,2110150
2112019,2112261
2129832,2130056
2139656,2139924
2146081,2146346
2149446,2149701
2156188,2156413
2162105,2162325
2167420,2167649
2169142,2169370
2175667,2176062
2205500,2205841
2206831,2207067
2208573,2208798
2220291,2220513
2244762,2244979
2245646,2245858
2265919,2266224
2267241,2267513
2268392,2268672
2270806,2271036
2279383,2279664
2280580,2280928
2285447,2285856
2293914,2294246
2298891,2299282
2300550,2300828
2306710,2307039
2311196,2311492
2326932,2327164
2345689,2345904
2353600,2353835
2354080,2354304
2354773,2355006
2358677,2359081
2363173,2363504
2364833,2365463
2378754,2379195
2382037,2382311
2416309,2416543
2424654,2424928
2434254,2434683
2434715,2435073
2436494,2436871
2459215,2459638
2463362,2463753
2463824,2464064
2467882,2468124
2468300,2468675
2483871,2484093
2484208,2484563
2505299,2505520
2506375,2506777
2517563,2517787
2521982,2522326
2537272,2537599
2539795,2540012
2544110,2544452
2550371,2550593
2556519,2556749
2566631,2566963
2588119,2588339
2596154,2596571
2608692,2608916
2613249,2613569
2630315,2630663
2632872,2633196
2636295,2636611
2643603,2644132
2654908,2655423
2663080,2663295
2664704,2664998
2674975,2675188
2677209,2677710
2679670,2680004
2686787,2687008
2687767,2688037
2702101,2702442
2705267,2705838
2708047,2708267
2721739,2722119
2743857,2744075
2757165,2757385
2764503,2764843
2766404,2766638
2769821,2770110
2770407,2770699
2773040,2773327
2775099,2775445
2781452,2781869
2841958,2842359
2851306,2851565
2858469,2858688
2863443,2863685
2876116,2876449
2883025,2883275
2887444,2887854
2900911,2901226
2905183,2905543
