ID,PC1,PC2,name
chromosome_GCF_002951835.1_ASM295183v1,-15.367894504406546,-5.575535299644041,chromosome_GCF_002951835.1_ASM295183v1
chromosome_GCF_014054985.1_ASM1405498v1,-15.48360980734144,-1.1521432637069764,chromosome_GCF_014054985.1_ASM1405498v1
plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1,37.84997601068786,-19.272872515227828,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
chromosome_GCF_014054525.1_ASM1405452v1,-33.50840188392819,-8.91886933345121,chromosome_GCF_014054525.1_ASM1405452v1
chromosome_GCF_022354465.1_ASM2235446v1,-19.124060792151013,-5.500184571889835,chromosome_GCF_022354465.1_ASM2235446v1
chromosome_GCF_016894345.1_ASM1689434v1,-1.029351120575234,4.563588172336634,chromosome_GCF_016894345.1_ASM1689434v1
chromosome_GCF_022870845.1_ASM2287084v1,-2.915706143008925,6.827930369399064,chromosome_GCF_022870845.1_ASM2287084v1
chromosome_GCF_022749515.1_ASM2274951v1,-5.701783751054205,4.7296502312861435,chromosome_GCF_022749515.1_ASM2274951v1
chromosome_1_GCF_001718895.1_ASM171889v1,12.70490009085644,4.732757773607014,chromosome_1_GCF_001718895.1_ASM171889v1
chromosome_2_GCF_001718895.1_ASM171889v1,11.849086371730502,6.205955088839805,chromosome_2_GCF_001718895.1_ASM171889v1
chromosome_3_GCF_001718895.1_ASM171889v1,13.07834608023775,4.26274246826773,chromosome_3_GCF_001718895.1_ASM171889v1
chromosome_GCF_000009145.1_ASM914v1,10.08740598334136,6.051359287235695,chromosome_GCF_000009145.1_ASM914v1
chromosome_GCA_019038085.1_ASM1903808v1,7.561093465611678,3.04562159294781,chromosome_GCA_019038085.1_ASM1903808v1
