ID,PC1,PC2,name
chromosome_GCF_002951835.1_ASM295183v1,-5.07102822445845,15.843027663808895,chromosome_GCF_002951835.1_ASM295183v1
chromosome_GCF_014054985.1_ASM1405498v1,-5.870430931662376,11.901973918468519,chromosome_GCF_014054985.1_ASM1405498v1
plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1,-6.133895308867641,-4.050981208041058,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
chromosome_GCF_014054525.1_ASM1405452v1,-6.322510581961602,-0.7100990550660722,chromosome_GCF_014054525.1_ASM1405452v1
chromosome_GCF_022354465.1_ASM2235446v1,-6.38780888132803,0.05194518667577122,chromosome_GCF_022354465.1_ASM2235446v1
chromosome_GCF_016894345.1_ASM1689434v1,-6.114215997368095,-4.013249772848259,chromosome_GCF_016894345.1_ASM1689434v1
chromosome_GCF_022870845.1_ASM2287084v1,-4.2527859067974365,-2.5867238651444318,chromosome_GCF_022870845.1_ASM2287084v1
chromosome_GCF_022749515.1_ASM2274951v1,68.11769519853071,-0.06548482036105897,chromosome_GCF_022749515.1_ASM2274951v1
chromosome_1_GCF_001718895.1_ASM171889v1,-6.250184087097489,-2.4901973293349617,chromosome_1_GCF_001718895.1_ASM171889v1
chromosome_2_GCF_001718895.1_ASM171889v1,-6.21580572436272,-3.09756508908453,chromosome_2_GCF_001718895.1_ASM171889v1
chromosome_3_GCF_001718895.1_ASM171889v1,-5.120406109958426,-4.144091414840855,chromosome_3_GCF_001718895.1_ASM171889v1
chromosome_GCF_000009145.1_ASM914v1,-4.009314760855159,-3.472212956867604,chromosome_GCF_000009145.1_ASM914v1
chromosome_GCA_019038085.1_ASM1903808v1,-6.369308683813295,-3.1663412573643495,chromosome_GCA_019038085.1_ASM1903808v1
